geo_id2,geo_name,eatribe,eaid,state,year,pcinc,LOGPCINC,LNPCINC,FC,HC,ea_v5,ea_v30,ea_v32,ea_v66,pcinc_co,unempl_co,logpop,logpopsq,logdist,DIST,logruggedness,casino,logresarea_sqkm,BIA_reg,removal,popadultshare,instrument_gold,intrument_silver,wgold_enviro,wsilver_enviro,count_1_all,count_5_governance,count_5_notgovernance,count_7_governance,count_7_notgovernance,share_5_governance,share_5_notgovernance,share_7_governance,share_7_notgovernance
10,"Acoma Pueblo and Off-Reservation Trust Land, NM",ACOMA . .,437,NM,2000,8680,3.938519725,9.068776808,0,0,8,7,3,1,12625.4,5.7,7.91571331,62.65851721,4.440851212,27596.3225,-0.906329453,1,7.34050703,Southwest,10.7066927,68.54014587,0,0,0,0,209,0,1,6,24,0,0.004784689,0.028708134,0.114832535
20,"Agua Caliente Reservation, CA",CAHUILLA.,546,CA,2000,24249,4.384693834,10.09613066,0,0,0,2,3,1,17772.5,4.65,5.147494316,26.49669773,1.596140742,39.4585155,0.314948946,1,4.848791174,Pacific,11.12008572,78.4883728,4.143348217,0,665358.8125,60879.77734,3,0,0,0,0,0,0,0,0
80,"Allegany Reservation, NY",IROQUOIS.,663,NY,2000,12298,4.089834489,9.417191927,1,1,4,7,3,1,16859.5,3.8,7.092573643,50.30460088,3.36498642,2317.322187,-0.507878482,1,4.831433986,Eastern,12.6038475,69.07730865,0,0,0,0,37,0,0,8,11,0,0,0.216216221,0.297297299
140,"Bad River Reservation, WI",CHIPPEWA.,499,WI,2000,10584,4.024649831,9.267098706,0,0,2,2,3,1,16504,5.075,6.974478722,48.64335344,4.71646595,52055.41942,-2.414265394,1,6.231933642,Midwest,11.95818043,64.5463028,0,0.007717871,0,0,28,0,0,3,2,0,0,0.107142858,0.071428575
155,"Barona Reservation, CA",DIEGUENO.,339,CA,2000,38647,4.587115787,10.56222443,0,0,0,2,3,1,22926,3.6,5.869297028,34.4486476,2.877071619,753.479809,-0.591501355,1,3.183826496,Pacific,13.79118443,60.16949463,0,0,150192.2031,23443.02344,16,0,0,5,2,0,0,0.3125,0.125
165,"Battle Mountain Reservation, NV",ELKOSHOSH,584,NV,2000,12017,4.079796061,9.394077593,0,0,0,2,2,1,18268.5,5.3,4.700480461,22.09451656,4.629945278,42652.57725,-2.929140329,0,0.99445852,Western,11.65908909,73.6363678,4.357643127,2.859819174,463675.3125,327531.9063,769,0,2,2,35,0,0.00260078,0.00260078,0.045513652
170,"Bay Mills Reservation and Off-Reservation Trust Land, MI",CHIPPEWA.,499,MI,2000,12394,4.093211492,9.424967764,0,0,2,2,3,1,15858,5.3,6.519147396,42.49928277,2.892750978,781.1797529,-1.76418829,1,2.542507221,Midwest,13.22025776,64.30678558,0,0.007717871,0,0,4,0,0,0,0,0,0,0,0
250,"Big Pine Reservation, CA",E.MONO. .,572,CA,2000,11613,4.064944426,9.359880439,1,0,0,2,3,1,17567,5.35,5.572154045,31.0489007,4.781707764,60493.36785,-1.363182187,0,0.114219063,Pacific,10.94657516,81.36882019,4.535877705,8.542140007,804085.125,101600.9766,2,0,0,0,1,0,0,0,0.5
275,"Big Valley Rancheria, CA",S.POMO. .,533,CA,2000,4029,3.605197267,8.301273485,1,0,0,3,3,2,20664,4.266666667,5.21493578,27.19555519,3.154266834,1426.483768,-4.60517025,1,-0.728462328,Pacific,11.5160656,46.73913193,0,0,0,0,0,0,0,0,0,0,0,0,0
305,"Blackfeet Reservation and Off-Reservation Trust Land, MT",BLACKFOOT,619,MT,2000,8383,3.923399466,9.033961125,1,0,0,1,3,2,15438.5,3.225,9.019059181,81.34342851,4.780452728,60318.8049,-1.326036453,1,8.735126198,Rocky Mountain,12.15498829,64.71727753,3.094664097,6.774069309,0,0,169,2,1,12,13,0.01183432,0.00591716,0.071005918,0.07692308
