geo_id2,geo_name,eatribe,eaid,state,year,pcinc,FC,HC,ea_v5,ea_v30,ea_v32,ea_v66,pcinc_co,unempl_co,logpop,logdist,dist,logruggedness,casino,logresarea_sqkm,BIA_reg,removal,popadultshare,instrument_gold,intrument_silver,wgold_enviro,wsilver_enviro,count_1_all,count_5_governance,count_5_notgovernance,count_7_governance,count_7_notgovernance,share_5_governance,share_5_notgovernance,share_7_governance,share_7_notgovernance
10,"Acoma Pueblo and Off-Reservation Trust Land, NM",ACOMA . .,437,NM,2000,8680,0,0,8,7,3,1,12625.4,5.7,7.9157133102,4.4408512115,84.8471338042,-0.906329453,1,7.3405070305,Southwest,10.7066926956,68.540145874,0,0,0,0,209,0,1,6,24,0,0.0047846888,0.0287081338,0.1148325354
20,"Agua Caliente Reservation, CA",CAHUILLA.,546,CA,2000,24249,0,0,0,2,3,1,17772.5,4.65,5.1474943161,1.5961407423,4.9339542334,0.3149489462,1,4.8487911737,Pacific,11.1200857162,78.4883728027,4.143348217,0,665358.8125,60879.77734375,3,0,0,0,0,0,0,0,0
80,"Allegany Reservation, NY",IROQUOIS.,663,NY,2000,12298,1,1,4,7,3,1,16859.5,3.8,7.0925736427,3.3649864197,28.9331043755,-0.5078784823,1,4.8314339863,Eastern,12.6038475037,69.0773086548,0,0,0,0,37,0,0,8,11,0,0,0.2162162215,0.2972972989
140,"Bad River Reservation, WI",CHIPPEWA.,499,WI,2000,10584,0,0,2,2,3,1,16504,5.075,6.9744787216,4.71646595,111.7725440946,-2.4142653942,1,6.2319336421,Midwest,11.9581804276,64.5463027954,0,0.0077178711,0,0,28,0,0,3,2,0,0,0.1071428582,0.0714285746
155,"Barona Reservation, CA",DIEGUENO.,339,CA,2000,38647,0,0,0,2,3,1,22926,3.6,5.8692970276,2.877071619,17.762182509,-0.5915013552,1,3.1838264958,Pacific,13.7911844254,60.1694946289,0,0,150192.203125,23443.0234375,16,0,0,5,2,0,0,0.3125,0.125
165,"Battle Mountain Reservation, NV",ELKOSHOSH,584,NV,2000,12017,0,0,0,2,2,1,18268.5,5.3,4.7004804611,4.6299452782,102.5084545066,-2.9291403294,0,0.9944585199,Western,11.6590890884,73.6363677979,4.3576431274,2.8598191738,463675.3125,327531.90625,769,0,2,2,35,0,0.0026007802,0.0026007802,0.0455136523
170,"Bay Mills Reservation and Off-Reservation Trust Land, MI",CHIPPEWA.,499,MI,2000,12394,0,0,2,2,3,1,15858,5.3,6.5191473961,2.8927509785,18.042876957,-1.7641882896,1,2.5425072213,Midwest,13.2202577591,64.3067855835,0,0.0077178711,0,0,4,0,0,0,0,0,0,0,0
250,"Big Pine Reservation, CA",E.MONO. .,572,CA,2000,11613,1,0,0,2,3,1,17567,5.35,5.5721540451,4.7817077637,119.3079259072,-1.3631821871,0,0.1142190632,Pacific,10.9465751648,81.3688201904,4.5358777046,8.542140007,804085.125,101600.9765625,2,0,0,0,1,0,0,0,0.5
275,"Big Valley Rancheria, CA",S.POMO. .,533,CA,2000,4029,1,0,0,3,3,2,20664,4.2666666667,5.2149357796,3.1542668343,23.43584843,-4.6051702499,1,-0.7284623281,Pacific,11.5160655975,46.7391319275,0,0,0,0,0,0,0,0,0,0,0,0,0
305,"Blackfeet Reservation and Off-Reservation Trust Land, MT",BLACKFOOT,619,MT,2000,8383,1,0,0,1,3,2,15438.5,3.225,9.0190591812,4.7804527283,119.1582841592,-1.3260364532,1,8.7351261984,Rocky Mountain,12.1549882889,64.7172775269,3.0946640968,6.7740693092,0,0,169,2,1,12,13,0.0118343197,0.0059171598,0.0710059181,0.0769230798
335,"Bois Forte Reservation, MN",CHIPPEWA.,499,MN,2000,10995,0,0,2,2,3,1,18622,3.9,6.1675167084,4.2819209099,72.3793407476,-2.8047332764,1,6.3077064723,Midwest,12.4184446335,66.2473831177,0,0.0077178711,0,0,71,12,2,3,4,0.1690140814,0.0281690136,0.0422535203,0.0563380271
360,"Brighton Reservation, FL",CREEK . .,180,FL,2000,15709,1,1,4,7,3,1,19860.1666666667,3.0166666667,5.9427995682,4.0811343193,59.2125977632,-5.3801193237,0,4.9967507951,Eastern,13.6439847946,58.2677192688,0.0590271056,0.0007681758,0,0,84,,,,,,,,
400,"Burns Paiute Colony and Off-Reservation Trust Land, OR",WADATKUHT,568,OR,2000,7189,1,0,0,2,2,1,16159,6,4.9487600327,5.0545930862,156.7407374036,-2.4660966396,1,3.8918549509,Northwest,11.8117074966,58.8652496338,0.8476570249,0.3113170266,0,0,14,0,0,0,0,0,0,0,0
440,"Yerington Colony, NV",KUYUIDOKA,569,NV,2000,8376.4625,1,0,0,2,2,1,22915.5,4.05,5.7868971825,3.8886890411,48.8468083747,-2.068707943,0,1.8985863756,Western,11.9075632095,61.6564407349,4.6445131302,10.206902504,1298919.125,0,6,0,0,0,0,0,0,0,0
450,"Campo Reservation, CA",DIEGUENO.,339,CA,2000,5719,0,0,0,2,3,1,22926,3.6,5.5529594421,4.0512161255,57.4673020174,-0.8415192366,0,4.2084977904,Pacific,13.7869672775,54.6511650085,0,0,150192.203125,23443.0234375,7,0,0,1,1,0,0,0.1428571492,0.1428571492
510,"Carson Colony, NV",WASHO . .,340,NV,2000,9230,1,0,0,2,2,1,22938.6,3.56,5.556828022,1.0410194397,2.8321027011,0.1855138987,0,-0.3135416816,Western,10.7174282074,64.8648605347,0,1.5037294626,363154.25,0,44,3,1,3,3,0.0681818202,0.0227272734,0.0681818202,0.0681818202
525,"Catawba Reservation, SC",CATAWBA .,662,SC,2000,10525,1,1,8,5,3,1,20170.2,3.82,5.8805332184,2.5636813641,12.9835265321,-1.9933298826,0,1.0848811422,Eastern,11.7196340561,63.9664840698,0.5580903292,0.0070358389,38147.94140625,0,1223,,,,,,,,
540,"Cattaraugus Reservation, NY",IROQUOIS.,663,NY,2000,12318,1,1,4,7,3,1,17718.6666666667,4.3333333333,7.5683794022,3.2265770435,25.193273733,-1.8961651325,1,4.490087473,Eastern,12.6056118011,66.735534668,0,0,0,0,341,3,4,14,37,0.008797654,0.0117302053,0.0410557203,0.1085043997
575,"Chehalis Reservation, WA",TWANA . .,71,WA,2000,8039,1,0,0,3,3,2,18404.5,4.425,5.9215784073,3.0823614597,21.8098447029,-2.0134651661,1,2.9011244856,Northwest,10.6413660049,58.7131385803,0,0,10525.01171875,0,209,0,2,5,3,0,0.0095693776,0.0239234455,0.0143540669
585,"Chemehuevi Reservation, CA",CHEMEHUEV,596,CA,2000,12622,0,0,1,2,2,1,16186.6666666667,4.0333333333,5.0562458038,1.8536105156,6.3828232528,-1.2395067215,1,4.8255712717,Western,11.9547586441,66.8789825439,6.5308251381,2.0447282791,397186.3125,92755.4296875,126,1,2,12,9,0.0079365084,0.0158730168,0.095238097,0.0714285746
605,"Cheyenne River Reservation and Off-Reservation Trust Land, SD",SANTEE. .,627,SD,2000,6609,1,0,1,2,2,1,16379,2.7384615385,8.7152242661,4.6525087357,104.8476910511,-2.0886852741,1,9.3452630886,Great Plains,12.0495634079,59.6226387024,3.8525002003,0.084091045,510639.90625,10938.037109375,878,14,9,54,61,0.0159453303,0.0102505693,0.0615034178,0.0694760829
635,"Chitimacha Reservation, LA",CHITIMACH,1224,LA,2000,21675,1,1,4,0,3,0,13721,5,5.5797300339,3.4242162704,30.6985760397,-5.0478024483,1,0.0376993721,Eastern,11.504240036,68.3018875122,0,0,0,0,1,0,0,0,0,0,0,0,0
680,"Cochiti Pueblo, NM",ACOMA . .,438,NM,2000,9671,0,0,8,8,3,1,25804.6666666667,2.8,6.6093492508,3.5627746582,35.2608984797,-1.0178304911,0,5.3594437151,Southwest,10.873793602,69.1374664307,0,0,0,0,103,1,0,6,7,0.009708738,0,0.0582524277,0.0679611638
695,"Cocopah Reservation, AZ",COCOPA. .,443,AZ,2000,5479,1,0,4,5,3,1,14020.5,5.95,6.2822666168,2.6586742401,14.2773482104,-3.4368991852,1,3.2607372204,Western,10.8610105515,71.5887832642,2.8094270229,1.9329437017,454230.53125,83837.0234375,3,1,0,0,0,0.3333333433,0,0,0
705,"Coeur d'Alene Reservation, ID",COEURD'AL,556,ID,2000,10023,1,1,0,2,3,2,17117,5.5,7.1016759872,3.7238955498,41.4254551167,-0.6416084766,1,7.2379300004,Northwest,11.1493330002,65.0741348267,0,0,0,0,38,0,1,0,3,0,0.0263157897,0,0.0789473653
720,"Cold Springs Rancheria, CA",MOACHE. .,602,CA,2000,6107,1,0,0,2,2,1,15088.5,7.1,5.2364420891,3.5816268921,35.9319507273,-0.568195641,0,-0.8838927344,Pacific,10.8806476593,50,7.3115625381,0,682853.875,0,369,,,,,,,,
735,"Colorado River Reservation, AZ--CA",MOHAVE. .,445,AZ--CA,2000,9459,1,1,4,5,3,1,16812.25,4.125,7.7424020767,3.7465252876,42.3735898651,-1.729829669,1,7.0352545224,Western,11.6492395401,68.055557251,0,0,403336.71875,82353.5234375,7,0,0,2,2,0,0,0.2857142985,0.2857142985
815,Cow Creek,TOLOWA. .,271,OR,2000,9913,0,0,0,3,2,2,16581,4.3,6.4167323112,3.1380107403,23.0579529495,-1.1931877136,1,0.9373827741,Northwest,10.4004087448,64,4.2173657417,0,94186.84375,0,0,0,0,0,0,0,0,0,0
845,"Crow Reservation and Off-Reservation Trust Land, MT",CROW. . .,178,MT,2000,7942,1,1,0,2,2,1,16737.3333333333,3.5333333333,8.5550670624,4.2987442017,73.6072997101,-0.9956864715,1,9.142150471,Rocky Mountain,12.0617227554,63.2582321167,0.2526194155,2.7648580074,14739.765625,49401.5078125,150,4,1,10,7,0.0266666673,0.0066666668,0.0666666701,0.0466666669
855,"Crow Creek Reservation, SD",SANTEE. .,627,SD,2000,4043,1,0,1,2,2,1,17381.7142857143,2.4857142857,7.5261788368,4.3138346672,74.7264914538,-1.9112128019,1,7.0858374137,Great Plains,12.8040618896,60.8836250305,0,0,0,0,42,1,0,0,8,0.0238095243,0,0,0.190476194
940,"Dresslerville Colony, NV",WASHO . .,340,NV,2000,8232,1,0,0,2,2,1,24555.5,3.925,5.6629605293,3.1852631569,24.1736490312,-1.5951519012,0,1.1318572028,Western,10.8339185715,63.194442749,0,1.5037294626,522177.09375,54336.640625,44,3,1,3,3,0.0681818202,0.0227272734,0.0681818202,0.0681818202
965,"Duck Valley Reservation, NV--ID",ELKOSHOSH,584,NV--ID,2000,10122,1,0,0,2,2,1,15943.5,4.1,6.8522424698,4.8912978172,133.1262355078,-0.9004473686,0,7.0674375412,Western,12.4499139786,71.2473602295,2.9064264297,3.7567443848,167698.140625,11506.2373046875,23,1,0,2,1,0.0434782617,0,0.0869565234,0.0434782617
990,"Eastern Cherokee Reservation, NC",CHEROKEE.,278,NC,2000,12008,1,1,5,7,3,1,16953.1428571429,3.4357142857,8.6711149216,3.9070067406,49.7498147794,-0.1378873885,1,5.3657981701,Eastern,11.8624744415,71.296295166,0.1934957802,0.0020962241,1236.9006347656,0,112,3,5,4,6,0.0267857146,0.0446428582,0.0357142873,0.0535714291
1005,"Elko Colony, NV",ELKOSHOSH,584,NV,2000,11435,0,0,0,2,2,1,18482,4,6.4583382607,0.7210898995,2.0566735571,-1.4687380791,0,-0.247166445,Western,11.2872781754,67.5548629761,4.3576431274,2.8598191738,205017.109375,0,0,0,0,0,0,0,0,0,0
1070,"Fallon Paiute-Shoshone Reservation and Off-Reservation Trust Land, NV",TOEDOKADO,570,NV,2000,10704.14286,0,0,0,2,2,1,19264,3.6,6.4614682198,4.4356045723,84.4031372649,-2.6318888664,0,-0.8419596568,Western,10.8212327957,66.25,0,0,0,1018704.625,0,0,0,0,0,0,0,0,0
1100,"Flandreau Reservation, SD",SANTEE. .,627,SD,2000,12032,1,0,1,2,2,1,17459.8,2.36,5.7589015961,3.4787921906,32.4205405835,-2.4641406536,1,2.3432140147,Great Plains,12.4136857986,67.1924285889,0,0,0,0,1,0,0,1,0,0,0,,0
1125,"Fond du Lac Reservation and Off-Reservation Trust Land, MN--WI",CHIPPEWA.,499,MN--WI,2000,12649,0,0,2,2,3,1,17654,4.1125,7.1404528618,2.5319116116,12.5775265156,-2.7981767654,1,6.020617773,Midwest,12.0297679901,64.1838378906,0,0.0077178711,0,0,104,3,1,8,7,0.028846154,0.009615385,0.0769230798,0.0673076957
1135,"Forest County Potawatomi Community and Off-Reservation Trust Land, WI",POTAWATOM,660,WI,2000,22315,0,1,3,3,3,1,20416.4,3.39,6.0776424408,4.4919519424,89.2955757019,-2.2146873474,1,3.926986805,Midwest,12.8948488235,58.486240387,0,0,0,0,44,0,0,2,0,0,0,0.0454545468,0
